NOC,Gold,Silver,Bronze,Total
Algeria,1,0,1,2
Argentina,0,0,1,1
Australia,7,9,11,27
Austria,0,2,0,2
Bahamas,0,0,1,1
Belgium,0,1,2,3
Brazil,2,1,0,3
Bulgaria,3,7,6,16
Canada,7,4,7,18
China,16,22,16,54
Chinese Taipei,0,1,0,1
Colombia,0,0,1,1
Croatia,0,1,2,3
Cuba,14,6,11,31
Czechoslovakia,4,2,1,7
Denmark,1,1,4,6
Estonia,1,0,1,2
Ethiopia,1,0,2,3
Finland,1,2,2,5
France,8,5,16,29
Germany,33,21,28,82
Ghana,0,0,1,1
Great Britain,5,3,12,20
Greece,2,0,0,2
Hungary,11,12,7,30
Independent Olympic Participants,0,1,2,3
Indonesia,2,2,1,5
Iran,0,1,2,3
Ireland,1,1,0,2
Israel,0,1,1,2
Italy,6,5,8,19
Jamaica,0,3,1,4
Japan,3,8,11,22
Kenya,2,4,2,8
Latvia,0,2,1,3
Lithuania,1,0,1,2
Malaysia,0,0,1,1
Mexico,0,1,0,1
Mongolia,0,0,2,2
Morocco,1,1,1,3
Namibia,0,2,0,2
Netherlands,2,6,7,15
New Zealand,1,4,5,10
Nigeria,0,3,1,4
North Korea,4,0,5,9
Norway,2,4,1,7
Pakistan,0,0,1,1
Peru,0,1,0,1
Philippines,0,0,1,1
Poland,3,6,10,19
Puerto Rico,0,0,1,1
Qatar,0,0,1,1
Romania,4,6,8,18
Slovenia,0,0,2,2
South Africa,0,2,0,2
South Korea,12,5,12,29
Spain,13,7,2,22
Suriname,0,0,1,1
Sweden,1,7,4,12
Switzerland,1,0,0,1
Thailand,0,0,1,1
Turkey,2,2,2,6
Unified Team,45,38,29,112
United States,37,34,37,108
