Nation,Gold,Silver,Bronze,Total
Argentina,1,2,2,5
Australia,6,2,3,11
Austria,0,1,1,2
Belgium,2,2,0,4
Brazil,1,0,2,3
Bulgaria,0,0,1,1
Canada,1,2,0,3
Chile,0,2,0,2
Czechoslovakia,7,3,3,13
Denmark,2,1,3,6
Egypt,0,0,1,1
Finland,6,3,13,22
France,6,6,6,18
Germany,0,7,17,24
Great Britain,1,2,8,11
Hungary,16,10,16,42
India,1,0,1,2
Iran,0,3,4,7
Ireland,0,1,0,1
Italy,8,9,4,21
Jamaica,2,3,0,5
Japan,1,6,2,9
Lebanon,0,1,1,2
Luxembourg,1,0,0,1
Mexico,0,1,0,1
Netherlands,0,5,0,5
New Zealand,1,0,2,3
Norway,3,2,0,5
Poland,1,2,1,4
Portugal,0,0,1,1
Romania,1,1,2,4
South Africa,2,4,4,10
South Korea,0,0,2,2
Soviet Union,22,30,19,71
Spain,0,1,0,1
Sweden,12,13,10,35
Switzerland,2,6,6,14
Trinidad and Tobago,0,0,2,2
Turkey,2,0,1,3
United States,40,19,17,76
Uruguay,0,0,2,2
Venezuela,0,0,1,1
Yugoslavia,1,2,0,3
