Nation,Gold,Silver,Bronze,Total
Australia,2 [nb 3],0,3,5
Austria,0,3,3,6
Belgium,5,5,5,15
Bohemia,0,1,1 [nb 3],2
Canada,1,0,1,2
Cuba,1,1,0,2
Denmark,1 [nb 3],3,2,6
France,26 [nb 3],41 [nb 3],34 [nb 3],101
Germany,4,2,2,8
Great Britain,15 [nb 3],6 [nb 3],9 [nb 3],30
Hungary,1,2,2,5
India,0,2,0,2
Italy,2,2,0,4
Mexico,0,0,1,1
Mixed team,6,3,3,12
Netherlands,0 [nb 3],1,3,4
Norway,0,2,3,5
Spain,1,0 [nb 3],0,1
Sweden,0 [nb 3],0,1,1
Switzerland,6,2,1,9
United States,19 [nb 3],14 [nb 3],14 [nb 3],47
