Nation,Gold,Silver,Bronze,Total
Argentina,0,1,0,1
Australia,6,2,10,18
Bahamas,1,0,0,1
Belgium,2,0,1,3
Brazil,0,0,1,1
Bulgaria,3,5,2,10
Canada,1,2,1,4
Cuba,0,1,0,1
Czechoslovakia,5,6,3,14
Denmark,2,1,3,6
Ethiopia,1,0,0,1
Finland,3,0,2,5
France,1,8,6,15
Germany,10,22,18,50
Ghana,0,0,1,1
Great Britain,4,12,2,18
Hungary,10,7,5,22
India,1,0,0,1
Iran,0,0,2,2
Ireland,0,0,1,1
Italy,10,10,7,27
Japan,16,5,8,29
Kenya,0,0,1,1
Mexico,0,0,1,1
Netherlands,2,4,4,10
New Zealand,3,0,2,5
Nigeria,0,0,1,1
Pakistan,0,1,0,1
Philippines,0,1,0,1
Poland,7,6,10,23
Romania,2,4,6,12
South Korea,0,2,1,3
Soviet Union,30,31,35,96
Sweden,2,2,4,8
Switzerland,1,2,1,4
Trinidad and Tobago,0,1,2,3
Tunisia,0,1,1,2
Turkey,2,3,1,6
United States,36,26,28,90
Uruguay,0,0,1,1
Yugoslavia,2,1,2,5
