Nation,Gold,Silver,Bronze,Total
Australasia,2,2,3,7
Austria,0,2,2,4
Belgium,2,1,3,6
Canada,3,2,3,8
Denmark,1,6,5,12
Finland,9,8,9,26
France,7,4,3,14
Germany,5,13,7,25
Great Britain,10,15,16,41
Greece,1,0,1,2
Hungary,3,2,3,8
Italy,3,1,2,6
Netherlands,0,0,3,3
Norway,4,1,4,9
Russian Empire,0,2,3,5
South Africa,4,2,0,6
Sweden,24,24,17,65
United States,25,19,19,63
